Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
4,20,0.0,0.0,50.0,20,28,27,19,809.058044,0.023484
5,20,0.0,0.0,50.0,20,23,22,19,1079.661621,0.017598
6,20,0.0,0.0,50.0,20,32,31,19,742.802795,0.025579
7,20,0.0,0.0,50.0,20,23,22,19,1195.583008,0.015892
8,20,0.0,0.0,50.0,20,28,27,19,1106.873413,0.017165
9,20,0.0,0.0,50.0,20,25,24,19,1110.220581,0.017114
10,20,0.0,0.0,50.0,20,21,20,19,1002.420288,0.018954
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,1.0,0.0,50.0,20,559,0,0,951.495972,0.000000
2,20,1.0,0.0,50.0,20,677,0,0,954.150818,0.000000
3,20,1.0,0.0,50.0,20,795,0,0,1229.575073,0.000000
4,20,1.0,0.0,50.0,20,596,0,0,879.135925,0.000000
5,20,1.0,0.0,50.0,20,509,0,0,806.292419,0.000000
6,20,1.0,0.0,50.0,20,596,0,0,1036.622925,0.000000
7,20,1.0,0.0,50.0,20,629,0,0,962.302246,0.000000
8,20,1.0,0.0,50.0,20,666,0,0,938.013916,0.000000
9,20,1.0,0.0,50.0,20,568,0,0,954.309143,0.000000
10,20,1.0,0.0,50.0,20,828,0,0,1323.528687,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,1.0,50.0,20,615,154,0,959.111572,0.000000
2,20,0.0,1.0,50.0,20,578,137,0,871.544861,0.000000
3,20,0.0,1.0,50.0,20,709,190,0,1199.575073,0.000000
4,20,0.0,1.0,50.0,20,848,192,0,1233.915771,0.000000
5,20,0.0,1.0,50.0,20,596,170,0,997.080139,0.000000
6,20,0.0,1.0,50.0,20,653,186,0,1201.275146,0.000000
7,20,0.0,1.0,50.0,20,450,108,0,729.627686,0.000000
8,20,0.0,1.0,50.0,20,731,189,0,1133.013916,0.000000
9,20,0.0,1.0,50.0,20,723,174,0,1057.967285,0.000000
10,20,0.0,1.0,50.0,20,653,161,0,1072.756470,0.000000
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.1,0.0,50.0,20,36,32,19,1293.910767,0.014684
2,20,0.1,0.0,50.0,20,31,27,19,936.102173,0.020297
3,20,0.1,0.0,50.0,20,23,22,19,1048.271484,0.018125
4,20,0.1,0.0,50.0,20,28,25,19,921.366455,0.020622
5,20,0.1,0.0,50.0,20,32,29,19,944.199707,0.020123
6,20,0.1,0.0,50.0,20,33,30,19,811.910828,0.023402
7,20,0.1,0.0,50.0,20,38,35,19,990.146667,0.019189
8,20,0.1,0.0,50.0,20,25,23,19,1117.391235,0.017004
9,20,0.1,0.0,50.0,20,40,32,19,959.139526,0.019809
10,20,0.1,0.0,50.0,20,33,28,19,1014.665161,0.018725
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.4,0.0,50.0,20,296,108,17,1035.784180,0.016413
2,20,0.4,0.0,50.0,20,100,51,19,849.027405,0.022379
3,20,0.4,0.0,50.0,20,72,40,19,981.709717,0.019354
4,20,0.4,0.0,50.0,20,75,39,19,1086.299438,0.017491
5,20,0.4,0.0,50.0,20,69,41,17,802.342041,0.021188
6,20,0.4,0.0,50.0,20,89,51,19,1082.297607,0.017555
7,20,0.4,0.0,50.0,20,156,102,18,878.316284,0.020494
8,20,0.4,0.0,50.0,20,60,34,19,1254.112549,0.015150
9,20,0.4,0.0,50.0,20,66,40,17,1091.028564,0.015582
10,20,0.4,0.0,50.0,20,85,49,19,1112.187134,0.017083
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.8,0.0,50.0,20,519,96,12,989.417419,0.012128
2,20,0.8,0.0,50.0,20,517,95,8,832.260376,0.009612
3,20,0.8,0.0,50.0,20,610,114,15,1012.303223,0.014818
4,20,0.8,0.0,50.0,20,500,99,15,813.043579,0.018449
5,20,0.8,0.0,50.0,20,515,94,13,943.925537,0.013772
6,20,0.8,0.0,50.0,20,607,129,17,1201.622925,0.014148
7,20,0.8,0.0,50.0,20,436,78,10,927.165283,0.010786
8,20,0.8,0.0,50.0,20,645,114,17,1022.115051,0.016632
9,20,0.8,0.0,50.0,20,497,92,15,992.233459,0.015117
10,20,0.8,0.0,50.0,20,703,127,16,1200.928101,0.013323
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,20,0.0,0.1,50.0,20,26,25,19,1017.761047,0.018668
2,20,0.0,0.1,50.0,20,32,31,19,827.615662,0.022958
